project,risk,stakeholder,idx
Agricultural N2O sources|emission projections|and mitigation strategies,Climate change|greenhouse gas emissions|population growth|and non-CO2 emissions,Farmers|policymakers|researchers|and consumers,5537
Investigating which competencies will be essential for future jobs in the agro-industry sector,Job automation (specifically in the agro-industry sector,Relevant stakeholders in the agricultural sector in Uruguay|including those who were interviewed for the study (e.g|farmers|industry professionals|etc,5538
Deployment of smart grids in electricity systems,Market power|allocation of resources|regulatory frameworks,Generators|consumers|regulatory bodies|innovation providers,5539
Construction projects|infrastructure developments|building renovations|property developments|etc,Workplace accidents|labor disputes|supply chain disruptions|economic downturns|regulatory changes|etc,Government agencies|construction companies|contractors|suppliers|workers|customers|etc,5540
Combating challenges inherent to construction trades through the integration of emerging technologies like robotics and automation (RA,New hazards introduced by human-robot interactions (HRI) on the job site|including unauthorized access or operational situation awareness|mechanical concerns|environmental sources|power systems|and improper installation,Construction exper,5541
Investigating the impact of tire tread depth on road accident risk and developing an accident rate prediction model,Reducing road accident risk caused by poor adhesion to road surface,Road safety experts|insurance companies|and accident cost evaluation specialists,5543
travel service quality,visitor's level of enjoying tourist service|carrying out tourist service engineering innovation|improving travel service engineering,Organising Committee of The International Conference of Risk and Engineering Management,5544
carbon emissions|carbon offsets|hybrid carbon emissions system,emission costs|emission quantities|compliance cost risk,government|emitters|regulated firms,5546
ActionPlanT project,none detected,None,5547
development of technical methodology for remote recording to maximize environmental validity,none detected,company that provides DVC software,5548
generating rainfall inputs for the analysis and mitigation of hydrological or geologic hazards,floods|rain-induced landslides,people living in the Guangdong-Hong Kong-Macau Greater Bay Area (GBA,5549
agile software development projects,cost|time|and customer satisfaction,agile practitioners,5550
analysis of the experiences of technical specialists adopting the position of project manager|transition from a technical specialist role into a managerial role,corporate professionalisation|shifts towards corporate professionalism,clients/employers|the institution of profession,5551
encouragement of farmers to adopt sustainable agriculture practices|provision of training and disaster avoidance services by insurance companies,environmental damage|financial loss|adoption uncertainty,None,5554
autonomous grassroots-monitoring network to protect the forest,illegal logging|threats from higher authorities and loggers,community members who are sufficiently motivated to monitor the forest|including those who have been directly impacted by the loss of resources due to illegal logging,5557
Urban restoration,Environmental impact|cost|and energy consumption compared to new construction,Local authorities|property owners|residents|and environmentally conscious citizens,5558
review articles concerning different glyphosate-related aspects (e.g|risks|disagreements|concerns regarding glyphosate usage,probably carcinogenic to humans (according to the World Health Organization|detectable in food chain (diverse products,scientists|regulatory agencies|and the public in general,5559
In large-scale industrial construction projects|scaffolding activities account for a large amount of the construction budget|and overlooking the scaffolding management can lead to budget overruns and schedule delays,Given the nature of scaffolding activities|it has been challenging to track and utilize the scaffolding data for analytical purposes. Therefore|this paper proposes a project control,None,5560
refurbishment of existing building stock,None,building owners|policymakers|architects|engineers|contractors|construction companies (Politecnico di Milano,5561
Compacted landfill liner,low hydraulic conductivity|migration of harmful contaminants,,5563
prefabricated construction|building safety|optimization model,safety risks|risk level|risk control costs,construction industry professionals|engineers|architects|builders,5564
Survey of 987 lakes in Finland,Water quality deterioration in southern Finland due to elevated inorganic aluminum concentrations|which could harm fisheries,Finns living near the affected lakes,5565
None,Water scarcity|drought|flooding|soil erosion|pollution|etc,None,5567
,none found,None,5568
Email literacy project for rural EFL learners in Taiwan,none detected,University English majors|ninth-graders from a rural junior high school|and possibly teachers who participated in the project,5570
probability of hitting something (e.g|building|person,None,None,5571
Existing planning and policymaking processes|adaptation options and strategies|promotion of climate-resilient development|increase in long-term adaptive capacity,Climate change|climate-related risks|uncertainty in future climate risk,Developing countries|least developed countries|decision makers,5572
San Francisco-Oakland Bay Bridge East Span project,significant variability in the presence or absence of a very dense Merritt sand layer at shallow depths due to Paleochannel erosions of the Merritt sand strata,efforts were involved in the design to address potential ground movements and their implication to the Oakland Mole transition,5573
Water quality monitoring and microbial risk assessment,Concentrations of Campylobacter jejuni and Shigella spp. in water samples exceeded levels that could potentially cause 10 infections per person per year when water is used,Migratory birds|farmers using irrigation water|and people consuming fresh vegetables grown with irrigated water,5576
Displacement Ventilation (DV) system in a Field Environmental Chamber (FEC) with tropically acclimatized subjects,draft perception,subjects (30 males and 30 females,5577
Soil erosion study,Serious environmental hazard worldwide,,5578
Building information modelling (BIM,Data interoperability limitations for horizontal infrastructure,Industry Foundation Classes (IFC|open source standards|and project management teams,5579
chemico-pile method (a fast|effective|and well-recognized way of improving soil with soft clay deposits,none detected,None,5581
Reductions in emissions|mitigation of climate change,Climate change|unrealistic warming rates|potential need for rapid emission reductions,Scientific community|policymakers|environmental advocates,5582
None,High level of safety|high level of service quality|critical indexes|structural and functional features|fuzzy models|simulation|analysis|prediction of behavior,Maintenance managers,5583
Recycling of animal manure to agricultural soils,Heavy metals (Zn|Cu|Cr|Ni|Pb|Cd|Hg) and arsenic (As,Farmers|soil scientists|environmental regulators|and consumers who may be affected by the safety of using animal manure as fertilizer,5584
Monitoring of karst tunnels using 3D laser scanning technology (including establishment of a semi-automatic method for face identification,Complex geological conditions and environmental factors (e.g|security risks,Researchers and engineers involved in the study and construction of karst tunnels,5585
Analyzing the spatial-temporal variations of irrigation water requirements using a modified Penman-Monteith method during 1990-2015|focusing on five major crops - rice|wheat|maize|cotton|and fruit trees - for,Water scarcity|seasonal water shortages|and intensified conflicts between irrigation water requirement and water supply,None,5586
Reducing fumigant emissions|effective and economic field management methods|determining the effectiveness of ammonium thiosulfate (ATS) and composted manure amendments,Bystanding risk|environmental impact,Organic materials show greater potential in minimizing fumigant emissions than with chemicals|the need for a better understanding of the organic,5587
in situ gamma spectrometry,none detected,None,5588
Evaluation of potential flood wave propagation|damage to residential areas and critical infrastructure|methods of dam reconstruction,Floods|dam failures|sensitivity problem|domino effect,Residents|critical infrastructure owners|dam operators,5589
Knowledge sharing among project members in Chinese construction industry,none detected,Organizational commitment (moderator,5590
designing hazard warning messages for the end user in mind|reducing anxiety through clear and specific information|and using consistent language across hazard warnings,hazard warning messages|tsunami threats|personal experience with waves and warnings for other hazards (e.g|tornadoes,individuals engaged in interpretive sense making activities by comparing media accounts,5591
carrying out a systematic review of the existing literature on the association between arsenic exposure and bladder cancer risk,exposure to inorganic arsenic through drinking water,researchers|policymakers|public health officials|communities living in areas with high levels of arsenic in their drinking water,5592
teaching methods for small children using the existing braille script (carried out through a piece of hardware,none detected,visually impaired children in our society (the beneficiaries of the proposed educational aid,5593
monitoring the spread of low-cost particulate matter (PM) sensors in the market,insufficient accuracy of the sensors for controlling limit values|strong dependence of sensor reaction to humidity leading to incorrect readings,citizens|scientists|policymakers,5594
presentation of a systematic review and meta-analysis of studies assessing the impact of drug use on accident risk,errors|corrections|identification of increased accident risk associated with drug use while driving,drivers who use drugs while driving|researchers evaluating the safety implications of drug use while driving,5595
developing a dynamic model to describe project processing|using system dynamics methodology|including the amount of activities (man-days|flows|and human resources,delays|budget overruns|low quality of activities|changes in project goals,project team|including workers|and possibly management and sponsors who will benefit or be impacted by the project outcomes,5596
installation of detention basins|investigation of dike performance|analysis of breach mechanisms|etc,breaches|failure of dikes|flooding|loss of property,None,5597
None,Development challenges (e.g|complexity of systems under development,Construction industry professionals (e.g|developers|architects|engineers,5599
Agile project management principles in both an undergraduate and postgraduate digital marketing course (total n = 131,none detected,students|educators|and management,5600
decision-making process|participation|democracy,conflicts|resistance|complexity,public|lawyers|consultants|regulatory and resource agencies,5601
Analysis of stakeholders' opinions and views on barriers and solutions to grid expansion,Integration of large-scale and decentralized renewable energy sources|transmission grid expansion,Opinions and views of stakeholders concerning regulatory frameworks and public acceptance,5602
transitioning and re-creating patterns of action-organizational routines as they move through different life cycle stages,none detected,project organizations (autoethnographic empirical study,5603
Developing an Advanced Framework of Risk Assessment (AOPs) to predict hepatotoxicity through computational modeling and in vitro assays. Curating a modeling set of 869 compounds with known hepatotoxicity classifications and extracting assay data from PubChem,Expensive and time-consuming traditional experimental approaches to evaluate hepatotoxicity,None,5604
CAE (Computer-aided engineering,none detected,engineering community,5605
Karkheh reservoir,Neglect of the river's demand and utilities due to special attention given to meeting aforementioned demands|potential decrease in hydropower energy generation and water supply reliability under climate change conditions,River (as the primary stakeholder|environmental organization|hydropower energy consumers|farmers|and drinking water consumers,5606
Growth|industry|supply chain,Doubled|higher|volatility,Consumers|producers,5607
earthquake resistant design|assessment of masonry structural systems,earthquake|seismicity|vulnerability,building owners|engineers|architects|government agencies|communities,5609
None,none detected,None,5610
Redesigning a safe tourism industry|promoting health protocols|developing the post-COVID-19 tourism industry,Pandemic COVID-19|turbulence in the tourism sector|stagnation in the development of the tourism industry,General public|tourism industry stakeholders|government ag,5611
Rehab recommendations,Data loss or duplication|delays in data processing|difficulty in analyzing multiple databases|etc,DeKalb County staff|contractors|etc,5612
Developing connections and reinforcements for structural timber elements using fully threaded self-tapping screws,Creep and fatigue of the bond between fully-treaded screws and timber,RWTH Aachen University|structural design professionals|construction industry players,5614
comparing and assessing the suitability of laser scanning methods to determine geometric changes of bridge structures,None,None,5615
None,worker safety|environmental damage,None,5616
None,Climate change,None,5617
tunnel excavation in saturated nonhomogeneous soils,none found,developers|engineers|construction companies|government agencies involved in infrastructure development|environmental regulatory bodies|local communities affected by the project|etc,5618
Inter-municipal collaboration|understanding the forces behind emergence|testing a model|identifying factors and conditions|analyzing|suggesting proposals|validating points|and finding combinations of factors,Fragmentation|lack of coordination|difficulty|complexity,Metropolitan governance structures|municipalities|institutions|organizations|external catalysts|inter-organizational networks|and specific organizational,5619
designing global supply chains|spatially differentiated sustainability assessment|life cycle-oriented sustainability assessment methods,environmental impacts|economic costs|social implications,manufacturers|consumers|regulatory bodies|local communities|multinational corporations,5620
Advanced Stochastic Time-Cost Tradeoff (ASTCT) method,none detected,practitioners and researchers,5622
US$ 255 million (worth mentioning,Flooding (frequent floods in the city|particularly during cyclonic storms|caused significant damage in 2004|resulting in estimated losses of over US$ 50 million,City residents (mention of upgrade of wadi network and drainage system to minimize environmental and social impact on the city's inhabitants,5623
Rail plans|programs of projects|market area analysis|mobility analysis|and strategies to increase mode shift,None,Passengers of five U.S. state-supported intercity passenger rail routes|planners|policymakers|and individuals living within 30 miles of a rail station,5624
LUNA wireless network project,higher infrastructural costs,companies who wish to advertise their products,5625
analysis|completion time|distribution|project schedule|etc,uncertainty|duration|distribution|random variables|etc,methodology|approach|technique|evaluation|etc,5626
Evaluating the vulnerability of the Transition Zone (TZ) road and proposing a new rerouting location (TZ Hillside,Thinning and retreat of McMurdo Ice Shelf (MIS|potential collapse|and impact on nearby regions,Researchers studying the region|including those from the United States and New Zealand Antarctic,5627
comparative risk analysis... (6 words,According to the Italian regulation... (3 words,gives important indications... (7 words,5628
None,None,None,5629
renewable energy (RE) investments|specifically photovoltaic (PV) and onshore wind generation plants,policy|market|technical|performance|and other risks (1.6% - 2.1% per annum,investors|policymakers|regulators|financiers|and industry players,5630
Channel Tunnel Rail Link (CTRL) project,tunneling on piled foundations|interaction with overhead structures,bridge owners and operators,5632
Water access and quality assessment in urban Bo,Fecal contamination,None,5634
Geologic Carbon Storage (GCS,Free-phase CO2-leakage rates|brine-leakage rates|and poroelastic fault destabilization,,5635
collaborative research|R&D projects|Technology for Business Growth (TBG) program,conflicts due to cultural differences|lack of trust between project partners|difficulties in managing collaborative projects|etc,research institutes|universities|industry|New Zealand government,5637
Decision-making problem,Uncertainty in the decision-making process,Researchers evaluating alternatives in the context of interval type-2 fuzzy sets,5638
"Integrated Flood Management"" and ""Swiss approach on adapting to climate change",None,"Chinese society and economy|water management sector|CWRC flood management experts|and ""upper Changjiang basin - Jinsha river catchment",5639
successful management of design changes is critical for efficient delivery of construction projects,None,None,5640
None,,None,5641
Building designs|design solutions leading to more efficient and safe construction|and reducing waste and the economic use of resources at the industry level,Allowing economic use of contractor resources|enabling design requirements to be easily visualized and coordinated by site staff|and enabling contractors to develop and adopt alternative construction details,Designers|site staff|contractors|and respondents,5642
rethinking project management,complexity and uncertainty|actuality of projects,brave new world,5643
Prequalifying contractors|developing an enhanced contractor prequalification model|determining a practical frontier of best contractors,Contractor prequalification|data envelopment analysis (DEA|large amount of data|reliable results,Owner|contractors,5644
BOT highway project|rehabilitation strategies|highway capacity|tolls of multi-type vehicles,pavement roughness progression|highway maintenance cost|user costs,users|regulators|investors,5645
Description and explanation of change and stability in flood risk governance in Belgium (16 words,Flood risk|governance|Belgium (4 words,Semi-structured stakeholder interviews|legal document analysis (8 words,5646
Optimization of indicator weights,Accident influences,Experts' evaluations,5647
strategic alliances for product innovations by recombining partners' extant technologies,none detected,companies|specialists of different domains|partners|etc,5649
None,Government|international organizations|and local residents,None,5650
sustainable nanotechnology development|progress made in this field|important achievements and gaps at theoretical and applied levels,new scientific principles and material properties|safety|regulatory|ethical domains,society|businesses|governments,5651
None,Climate change,None,5652
comparing methods of two-level constant-stress ALT (CSALT) and simple step-stress ALT (SSALT|optimal sample size allocation|optimal stress change-time,accelerated life testing|failure data|competing risks|failure modes|independent exponential lifetime distributions,researchers studying the effects of different ALT methods on product reliability,5653
Flood warning systems,Flooding,Communities|river authorities|government agencies|etc,5654
IT strategy|IT investment|IT project selection and implementation|IT management|IT service,IT strategy|IT investment|IT project selection and implementation|IT management|IT service,Business strategy|business performance|IT performance|SMEs (Small and Medium-sized Enterprises,5655
None,contamination,None,5656
Research on toxic pollution in Finland and Sweden in the 1960s and early 1970s,Toxic chemicals contaminating the environment in both Finland and Sweden,Finnish public and society as a whole,5657
studying the long-term biological effects and toxicity mechanism of Nylon MPs on M. aeruginosa,microplastics (MPs|which can enter the aquatic environment and potentially harm freshwater microalgae like Microcystis aeruginosa (M. aeruginosa,researchers who are interested in understanding the potential risks of,5658
Contributing to greenhouse gas (GHG) reductions,Reduced nutrient loads and emissions of GHGs|improved biodiversity|and improved recreational opportunities,Farmers|other stakeholders who enjoy most of the benefits|and shadow price of reduced GHG emissions,5659
R&D project,Voluntary disclosure of qualitative information about actions involving governmental agencies and managerial intentions or beliefs in R&D project announcements may interact with industry/firm variables to provide significant incremental explanatory power in both the innovation and commercialization stages of R,Governmental agencies|firms|managers|employees,5660
None,None,None,5661
Optimization procedure for ship design|meeting EEDI regulations|balancing economy|efficiency|and safety,Safety of passengers and crew|environmental impact|under-powered designs,Ship owners|operators|regulatory bodies|environmental groups,5662
Creating GSI that is appealing to both laypeople and designers,Unappealing GSI designs could lead to maintenance issues and decreased health benefits,Laypeople and designers who provide preference ratings of GSI designs,5663
Industrial coating operations,Volatile organic compound (VOC) emissions,Local data providers,5665
analysis of six adaptation strategies (reducing risks associated with fishing routines|strengthening social relationships|managing fishermen's climate change knowledge|facilitating the community's learning of alternative skills|involving fishermen in climate change adaptation planning|and enhancing,coastal and mangrove erosion|degradation of marine resources,None,5666
AEC sector transformation,slow uptake of Industry 4.0 due to neglect of non-technical factors like social will to change and ethical choices,people and process issues|including ethical values when making decisions in the data-driven world of Industry 4.0,5668
Upgrades to treatment capacity at waterworks|adaptation to future conditions|evaluation of potential treatment capacity upgrades,Climate change|increased precipitation and runoff|extreme weather events|higher concentrations of indicator bacteria|color|and turbidity in raw water,Waterworks|local communities|regulatory agencies|,5669
bioethanol production|sustainable development strategy in China,dependence on the energy market|climate change|food market contradiction,Chinese licensed producers of fuel ethanol,5671
transformation|innovation|management|organization|agenda|experimentation|learning|evaluation|direction|alignment|incentive|motivation|communication|collaboration|coordination,change|demand|competition|discontinuity|environment|resource allocation|profitability|management|strategy|alignment|inertia|innovation|failure|success,customers|employees|shareholders|,5672
hydrothermal carbonization (HTC) of sewage sludge (SS) with and without calcium oxide (CaO) introduction,none detected,None,5673
improvement of public governance and achievement of other policy outcomes through digital government (DG,none detected,countries|organizations|and individuals involved in the evaluation and implementation of DG and sustainable governance (SG,5675
How to use modern mechanics to predict|the mechanism of coal mine rockburst is studied,severely restrict|rockburst scientifically and accurately,In this study|the mechanism of coal mine rockburst is studied by the theory of fracture mechanics|imp,5677
evolutionary banking system|interbank loans|investment strategies,liquidity shortage|utility maximization|systemic risk|contagion risks,banks|regulators|central bank,5680
Assessment of damage to wall panels from accidental explosions,Probabilities of foreseeable damage events (damage probabilities) and outcomes from these events,Experimental investigation of accidental explosions and their actions|as well as reliability analysis of wall panels,5682
Combining and testing tornado-stricken passenger vehicles to determine consistency of vehicle movement and upset at various wind speed intensities,Damage to vehicles due to tornadoes|particularly at higher wind speeds (F3/EF3 and F4/EF4,Passengers and their property within impacted vehicles|as well as infrastructure such as buildings and,5683
development of entrepreneurship in Russia since the early 1990s,none detected,researchers|Russian government|Global Entrepreneurship Monitor (GEM) project participants (other countries|early entrepreneurs in Russia,5684
Nested case-control study assessing the association and predictive utility of type 2 diabetes lifestyle risk factors in participants from Malaysia|an understudied Asian population with comparatively high disease prevalence,None,Participants from the three major ancestral groups,5685
optimization|processing|different,uncertainty|efficiency|unknown,organization|company|decision-makers,5686
optimization design analysis of Djoue Bridge aiming at saving steel and improving bearing capacity,none detected,Doctor Bridge|possibly others involved in the construction and specification improvement of the Djoue Bridge,5687
Energy efficient new and retrofit building construction,Uncertainty in the thermal conductivity of straw bales due to factors such as temperature|moisture content|and density,Designers developing projects using natural fiber insulation materials|including the University of Bath,5688
Full disclosure in corporate annual reports,none detected,disadvantaged stakeholders,5692
Introducing a decentralized network architecture for cloud manufacturing using blockchain technology,Centralized networking issues (flexibility|efficiency|availability|and security,Researchers in the manufacturing community interested in cloud manufacturing,5694
product design|policy development,None,industry partners|government partners,5695
None,None,None,5696
Architectural project investigating the morphological and integrative versatility of nature's fundamental processes,none detected,students in workshops incorporating educational methods and procedures derived from the research,5698
Investigation of direct tensile behavior of high performance/strength concrete (HPC/HSC) using a self-designed testing rig,Early-age cracking|premature cracking|durability issues,Researchers|engineers|construction professionals|concrete element and structure owners/users,5699
Quoting premiums for four identical buildings; two had investments in flood risk reduction|while the other two had none,Flood risk reduction|investments in precautionary measures,Insurers (Ghanaian home insurers,5700
Describe trends in the prevalence of opioids in driver fatalities and examine geographic variation in opioid-involved crashes at a county level,Increase in opioid-involved crash deaths|particularly among middle-aged and white drivers|and in crashes occurring in rural counties,Geographical distribution of opioid-invol,5701
Field trip to chemical facilities in the area affected by the 12 May|2008|Wenchuan earthquake in China|description of main characteristics of earthquake-triggered Natechs|emergency response on,Earthquakes|old buildings|unreinforced concrete structures|debris impact|shaking loads|and loss of equipment and pipes,None,5703
None,None,None,5705
Adaptation of an index entropy model for sensitivity analysis of the impact factors of debris flows in semiarid areas|case study of the Benzilan-Changbo segment of the upper reaches of the Jinsha River,Debris flow|semiarid mountainous areas|susceptibility assessment,People living in semiarid mountainous areas|specifically those who are at,5706
investigation into adolescents' perceptions and support for distracted driving legislation,distracted driving|adolescent drivers|public health initiatives|legislative efforts,adolescents|female adolescents|male adolescents|public high school students,5708
coastal environment planning and management|local coastal planning|scheduling and management activities (both ordinary and emergency conditions,coastal erosion risk assessment|flood risk|coastal inundation,the authors of the paper|possibly government agencies or coastal communities affected by the study area,5709
Uptake of electric vehicles (EVs) (positive impact,Development of charging infrastructure (positive impact,Respondents from Germany|Austria|Spain|the Netherlands|and the UK (all positive impact,5710
process improvement projects,measurement error|process variation,experimental factors,5713
construction of a 3.5 km bypass road around the village Reeuwijk in the Netherlands,excessive post-construction settlements,principal (the person or organization responsible for the project,5714
Documentation of traditional rice varieties (TRVs) in South Asia,Climate-related risks to rice productivity|including emerging vulnerabilities and mismatched farm practices,Farmers|community organizations|and scientific organizations,5716
Developing an educational and P-management tool adjusted for Swedish conditions|calculating PI values|testing the tool's performance,Phosphorus index (PI|risk-assessment tool|P losses|field vulnerability,Researchers|scientists|farmers|environmental agencies|water quality monitoring programs,5718
Measuring the density-loneliness effect using individual (non-ecological) data on a large national sample|controlling for personal confounders and mitigating environmental factors such as green space,Social isolation and loneliness due to increased residential density in urban areas,Individuals who live in dense urban areas|particularly males and retirees|,5720
definition of guidelines for evaluating superficial consolidating commercial products and treatments,crystal growth in the bulk of stones induces mechanical stresses capable of damaging or breaking the hardest stones,manufacturers of commercial products used for treating natural stone surfaces,5721
Examining the value relevance of corporate environmental performance (CEP,Environmental performance indicators and constructs having a significant impact on firm value,Governments|public institutions|firms|customers|and local communities recognizing the importance of corporate environmental performance,5722
introduction of a marine traffic situation complexity model|construction of a traffic unit complexity model|extension of the traffic unit complexity model into an own-ship complexity model,collision risk|traffic conflict factors|traffic density factor,None,5723
Integrated rice-fish cultivation|which combines the principles of the green and blue revolutions to achieve sustainable intensification of food production. This involves growing rice and fish together in the same field|using efficient irrigation systems|and implementing proper waste,Environmental degradation|soil erosion|loss of biodiversity|and water pollution associated with intensive farming practices,None,5724
None,risk|highly risk|inherent in construction projects|various forms|impacts on schedule|reduction of float|absorption of delays|measurable effect (twice|encountering during execution of contract (twice,society|policy (once each,5726
Developmental process|introduction of links between university and business|promotion of appropriate structures,Knowledge transfer activities|university culture and structure|university-business relations,University management|employees|students|business partners,5727
Amazon Radiography project,None,Brazilian Army Geographic Service (DSG|Amapa State population|other isolated populations|cities,5728
Climate change mitigation and adaptation strategies,Severe impacts of climate change on human populations and ecosystems|including increased frequency and severity of extreme weather events|rising sea levels|and changes in temperature and precipitation patterns,The general public|particularly those living in areas vulnerable to climate change impacts|as well as policymakers and decision-m,5729
measurement of time-integrated radon levels in soil and dwellings|supported by the University of Swaziland,None,indoor radon concentrations varied from 21 to 180 Bq m(-3) and soil gas radon concentration at 1 m depth|from 2 to,5730
design projects,collaboration|communication|technology failures|team dynamics|etc,designers|clients|end-users|management|etc,5731
investigation|cleanup techniques|measurement of bioavailable fractions|remediation or management of contaminated sites,toxicity|carcinogenicity|pollution,researchers|environmental regulatory agencies|communities near contaminated sites,5732
teamwork quality,none detected,team members|leaders|followers|and organizations,5734
Improving water quality through understanding and adopting best management practices (BMPs) by farmers,Agricultural non-point source pollution|degradation of waters,Farmers|agricultural producers|policymakers|environmental scientists|and consumers who rely on clean water sources,5735
developing a residential supply function for approved fixed-rate mortgages in US commercial banks,loan-price ratio|contract interest rate,lenders,5736
developing a quantitative model for predicting the crash rate of taxi drivers. This project involves using statistical methods to analyze data and create a model that,crossing red lights|dangerous overtaking|failing to use an indicator lamp|driving while fatigued|stopping in forbidden areas to pick up or drop off a passenger|and driving with one hand. These are all potential risks associated with taxi driving in China,None,5739
None,None,None,5740
Developing a comprehensive research agenda for understanding the role of governance in food systems,Environmental|social|and economic threats to food systems,Researchers|policymakers|farmers|consumers|and other actors involved in food systems governance,5741
providing PPE and assessing its effectiveness,distance between a soccer kicker and the goalie,None,5742
optimization of the working face layout using the GERPOHR method,rockburst|higher probability|larger scale|and higher risk,mining company|rockburst mitigation team,5743
Design of simulation models and their integration into industrial automation systems,Heterogeneity of engineering data|integration of tools and data are time-consuming and error-prone tasks. Growing number of elements increases the risk of errors and the effort needed for integration,Engineers|researchers|and practitioners involved in the development and implementation of industrial simulation models,5744
Algorithm for probabilistic-deterministic assessment of karst risk on regional and local levels,Karst process|karst deformations|karst hazards|karst economic and social risks of losses,People living in areas prone to karst deformations and hazards|including over 300 towns and thousands of smaller settlements,5746
None,None,None,5747
None,Intercept and degrade or remove soluble pollutants yet allow groundwater to flow through,Individuals or groups affected by the construction and operation of the barrier|such as nearby residents|environmental,5748
creating an embodied energy consumption and carbon emissions model for residential buildings in China,the accuracy of data acquisition|differences in the definition of embodied energy boundaries|and lack of building LCI standards contributing to large variations in findings,researchers acquiring data through typical process technology|engineering estimations|and professional judgments,5749
Variable speed refrigeration systems,none detected,,5750
None,None,None,5751
Mining projects|evaluation of social worthiness|gold debate|green economics,Environmental degradation|social disruption|external costs,Public concern|mining industry|government,5752
The study investigates the effects of dual-fairness concerns on the ride-hailing platform through a taxi and ride-hailing system model. This includes designing incentive strategies for the ride-hailing platform to alleviate the negative impact of,Concerns about fairness raise issues of risk for the ride-hailing platform|drivers|and passengers,None,5753
None,increases|actual land,offender,5755
Minnesota Teen Driver Study|incorporation of cellular phone blocking functions via a software application for 182 novice teen drivers in two treatment conditions,distracted driving|making calls and texts while driving,novice teen drivers|parents,5756
None,None,None,5757
New Welsh National Stadium,None,None,500
Virtual project teams|establishment of remote teams|collaboration using various information systems and technologies,Cost reduction|productivity growth|knowledge|skills|and flexibility,Employees in remote teams,5760
Monitoring of Atmospheric Concentrations of Benzene in European Towns and Homes (MACBTH). Six campaigns were carried out in the Municipality of Copenhagen|Denmark,Emission from petrol-fueled cars (ubiquitous in all cities|benzene is a carcinogenic compound,Personal exposure,5762
EbA projects|measurement|evaluation|implementation|global|community|coastal|event,asset loss|extreme events,experts,5763
Adaptive capacity building through participatory scenario workshops,Uncertainty and complexity of social-ecological challenges|difficulty in finding straightforward solutions,Citizens and their relationships within and across communities|organizations|and decision-making contexts,5764
MASTER (millimeter wave acquisitions for stratosphere/troposphere exchange research|ACECHEM (atmospheric composition explorer for chemistry and climate interactions,none detected,ESA/ESTEC (European Space Agency/European Space Research and Technology Centre|possibly other organizations involved in the development and deployment of these instruments,5765
Project 28D (a critical alignment within the larger Project 28 series,delays in completing the design due to natural disasters and regulatory changes,property owners along the project alignment (proactively worked with,5766
None,None,None,5767
Urban growth model,Financialization of the built environment (related to the Chinese economy,Mobile consumers and residents (in relation to urban growth and infrastructure development,5768
Public sector projects in Ghana,Health and Safety (H&S|procurement|project,Construction industry professionals in Ghana,5769
Experimental investigations,None,None,5770
Durability design of concrete structures in the Hong Kong-Zhuhai-Macau project for a working life of 120 years,carbonation-induced and chloride-induced corrosion of reinforcement steel,engineers|contractors|construction owners|and regulatory authorities involved in the construction process,5771
None,Cracks in the station structure cause stress dispersion and enlarge deformation,The testing and security assessment of the existing structure should be done before under-crossing projects|and monitoring should focus on the crack area,5773
None,project failure|poor project outcomes|difficulty adapting to Chinese market conditions,foreign AEC firms operating in China|construction industry practitioners managing projects in China,5774
developing a stochastic-fuzzy optimization model (SFM) for adjusting current urban industrial layout and environmental regulation in Beijing under uncertainties,uncertainty|infeasibility risks|random second-stage recourse penalties,policymakers,5776
Estimating inter-annual variations in the effect of heat for a fixed temperature range on mortality in 9 European cities included in the PHASE (Public Health Adaptation Strategies to Extreme weather events) project for the period 1990-2010,Heat-related mortality|inter-annual variations in risk estimates|and impacts of heat,None,5777
Surface coal mining,Air pollution problems with respect to dust|including total suspended particulate matter (TSP|respirable particulate matter (PM10|and benzene soluble matter,The investigation was conducted to evaluate the characteristics of the airborne dust created by surface coal mining in the Jharia Coalfield|suggesting that various stakehold,5778
dynamic risk assessment and prognostics of multiple|dependent|degrading components,data from a population of similar equipment|the derived models give always a somewhat average performance of an equipment,As far as the authors know|this is the first time that the continuous degradation process|dependencies among components and observation noise are considered in a dynamic risk assess,5780
species conservation planning|integrative|multi-stakeholder approach,failed|decline|threatened,IUCN Species Survival Commission (SSC|stakeholders,5781
COPLOS (Carbon Capture and Storage) research project,none detected,policy makers|simulation experts|simulation users,5782
Software development team|socio-technical pattern|monitoring|socio-technical core-periphery movement|Open Source projects,Core-periphery structure|socio-technical structure|coordination problems|Open Source projects,Developers|researchers|journal of information technology,5783
Climate change impact assessment studies,High uncertainty sources influencing the projected behavior of hydro-climate variables due to the complexity of climate-associated processes,Researchers|policymakers|and communities affected by climate change,5784
transition from the Traditional Educational Model (face-to-face) to Emergency Remote Teaching (ERT,"connectivity|student attitude|and ""student attendance at class sessions",teachers of Higher Education Institutions (HEI,5786
Evaluation of the impact of research (specifically|the Cardiff research program on seafarers' fatigue,Difficulty in assessing the impact of research on policy and practice|particularly when there are fewer active researchers involved,Seafarers who may be affected by the findings of the research,5788
Blood lead level analysis among battery factory workers in Guayaquil,Lead poisoning,None,5789
residential properties|GIS analysis|risk-reduction measures,pluvial flooding|flooding|damage,municipality|infrastructure|climate change,5790
